Application,Status,Radar Segment,Impacted by Phoenix,Primary CGL,Original Environment (column to be deleted),Environment,Location,Function,Function Description,Category,AI Enabled,Platform Description,Retirement (This column to be deleted),Lifecycle,Trajectory,Action,Initial Action Timeline,Complete Action Timeline,Bridge Required ,New Platform,New Sub-Module/Application,Comments,Solution Details,Primary SI,Primary Architect,App Owner,Original Tab (for reference),"Found in ""Enterprise Application Inventory""","Found in ""Application Inventory SharePoint""?"
ControlPlan,3. GTO Done,Manufacturing,No,Mfg,"Corp, Fab7, Giga",Corp,"Fab7, Giga",Manufacturing,"Actually Arbiter should be the name of this group of Apps.  But since PCP is the major App, someone may have name the App ControlPlan.  In ServiceNow, the App CI is Arbiter.",Manufacturing,No,"Arbiter Applications ( Giga+ and Fab7)
MRSPCApps ( Giga+)
RTEntry (Giga+)
RTValue (Giga+)
TimeLink (Giga+)
WaterfallChart",,Current,Hold,no change,,,,,,From App Owner: In use currently.  Next 3 years do not see any retirement nor migration.,,,Jimmy Goh,"Venkatachalam, Ramadurai","Manufacturing, Technology & IT",TRUE,TRUE
SIVIEW MM+SM,3. GTO Done,Manufacturing,No,M2O,"Corp, Fab1, Fab7, Fab8, Fab9",Prod,"Fab1, Fab7, Fab8, Fab9",FAB,Process Management,Manufacturing,Potential,Manufacturing execution system (MES),,Current,Invest ,no change,,,No,,," Integrate with SAP S4 EAM, SCM",,"GF, IBM",Peter Goerigk,Ronny Glockner,"Manufacturing, Technology & IT",,
Dun and Bradstreet,4. Complete,Enterprise,Y,O2C,Corp,Corp,,,,Data & Analytics,No,Dun & Bradstreet is one of the world's leading suppliers of business information and research. Its global database contains commercial data on more than 240 million companies. Dun & Bradstreet also holds the largest volume of business-credit information in the world.,,Current,Invest ,0:1 - new system,,,No,,,,,,Alex,,"Enterprise, Manufacturing, Technology & IT",,
Mendix eWSR/LSR App,1. Not Started,,N,O2C,Corp,Corp,,,,,,Engineering Wafer Start Request(eWSR) and Lot Service Request (LSR) forms submitted by PI/YE/TD/JV engineers for engineering purposes without the customer PO. These applications are migrated from SFDC,,,,N:1 - consolidation,,,,,,,,,,Avula Ramana Kumar,"Enterprise, Manufacturing, Technology & IT",,
Oracle GPE,3. GTO Done,Enterprise,Yes,O2C,Corp,Corp,Global,Finance,Product pricing system,,,"Global Pricing Excellence (GPE) system handles Quotes and Pricing for Wafer Sales, Non-recurring Engineering (NRE) Service Sales, Reticle Sales & MPW Sales. This document contains the functional design for Wafer, turnkey, Dies, Modules and ASIC (Applicat",R6,EOL,Retire,N:1 - consolidation,,,,SAP S4,SAP CPQ,,,,,Naveen Khana,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
Oracle GTM,3. GTO Done,Enterprise,Yes,O2C,Corp,Corp,Global,,Global trade management,,,Global Trade Compliance for outbound. Deny party verification and customs interfaces,R6,EOL,Retire,1:1 - replacement,,,,SAP S4,GTS,,,,Gopal,Naveen Khana,Enterprise,,
Oracle GTM App,5. Duplicate App,,N,O2C,Corp,Corp,Global,,,,,Global Trade Compliance for outbound. Deny party verification and customs interfaces,,,,1:1 - replacement,,,No,SAP S4,GTS,,,,Alex,Naveen Khana,"Manufacturing, Technology & IT",,
SAP MDG- Customer,3. GTO Done,Enterprise,Y,O2C,Corp,Corp,,,,Data & Analytics,No,SAP MDG for Customers,Introduced,Current,Invest ,0:1 - new system,Q1'25,, No,,,,,,Alex,,"Enterprise, Manufacturing, Technology & IT",,
SAP SD,3. GTO Done,Enterprise,Y,O2C,Corp,Corp,,,,ERP/MRP,No,S/4 Sales and distribution modules,Introduced,Current,Invest ,0:1 - new system,,,Yes,,,,,,Alex,,"Enterprise, Manufacturing, Technology & IT",,
BoxDefConfig (Fab9/10),1. Not Started,,Delete,Mfg,"Corp, Fab9",Corp,Fab9,,,,,Java application,,,,1:0 - retirement,,,,,,,,,,"ABDULLAH, Khan Mohamed","Manufacturing, Technology & IT",TRUE,TRUE
PCL,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab8",Prod,"Fab1, Fab7, Fab8",Manufacturing,"Process control logistics (sampling, dynamic constraints, ...)",Manufacturing,No,"PCL (ToolWish, LotGuard, iQSampling etc..) Promethus-Catalyst Framework",,Current,Invest ,no change,,,,,,No Change  Integration with SAP S4 EAM,,,Detlef Pabst,Robert Barlovic,"Manufacturing, Technology & IT",TRUE,TRUE
Posgres DB ( All Arbiter applications),1. Not Started,,Delete,Mfg,"Corp, Giga",Corp,Giga,,,,,Database for Arbiter Applications,,,,,,,,,,This is a DB not an application,,,,"Holz, Hendrik","Manufacturing, Technology & IT",TRUE,TRUE
AGV Dashboard,3. GTO Done,Manufacturing,"Delete, N",Manufacturing,"Corp, Giga",Corp,Giga,,,,,Operations Dashboard,,,Hold,no change,,,,,,No Change,,,Jimmy Goh,,"Manufacturing, Technology & IT",TRUE,TRUE
GF Lims in NEC,1. Not Started,,Delete,Materials Lab,"Corp, Fab8",Corp,Fab8,,,,,-,,,,,,,,,,,,,,Matt Miraglia,"Manufacturing, Technology & IT",TRUE,TRUE
AMHS (CLASS MCS 5),3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab7, Fab8, Giga",Corp,"Fab7, Fab8, Giga",,,,No,Automated Material Handling System & tool software,,Current,Invest ,no change,,,,,,No Change,,,Torsten Happ,"John Barker, Chris Belfi, Jeff Hanan","Manufacturing, Technology & IT",TRUE,TRUE
Datamart F7 App,5. Duplicate App,,Delete,Manufacturing Reporting,"Corp, Fab7",Corp,Fab7,,,,,"Datamart for Fab 7 (External Customer, Planning)
Fab Ops has own reporting MSDB, pDWH reporting",,,,,,,,,,,,,,"Holz, Hendrik","Manufacturing, Technology & IT",TRUE,TRUE
Datamart Giga+ App,5. Duplicate App,,Delete,Manufacturing Reporting,"Corp, Fab7, Giga",Corp,"Fab7, Giga",,,,,Datamart for Giga+ Fab manufacturing report serivce,,,,,,,,,,,,,,"Holz, Hendrik","Manufacturing, Technology & IT",TRUE,TRUE
Datamart MRS SGP App,5. Duplicate App,,N,Manufacturing Reporting,Fab7,,"Fab7, Giga",,,,,Datamart for Manufacturing Report Service for F7,,,,,,,,,,,,,,Ramadurai Venkatachalam,"Manufacturing, Technology & IT",TRUE,TRUE
Datamart MRS SGP App Giga,5. Duplicate App,,N,Manufacturing Reporting,Giga,,Giga,,,,,Datamart for Manufacturing Report Service for Giga and also used for global fabs,,,,,,,,,,,,,Alex,senthilkumar atchudan,"Manufacturing, Technology & IT",,
AMHS MCS (MACS),3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1",Corp,Fab1,Manufacturing,Transport system control,,No,Automated Material Handling System & tool software,,Current,Invest ,no change,,,,,,No Change,,,Torsten Happ,"Joerg Luebke, Detlev Glueer","Manufacturing, Technology & IT",TRUE,TRUE
APF - AMA (ActivityMgr for Automation),3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab7, Fab8, Fab9, Giga",Prod,"Fab 1, Fab7, Fab8, Giga",Manufacturing,"Automation jobs for fab operation scenarios, e.g. calling Siview Tx",Manufacturing,Potential,"Applied Materials - Advanced Productivity Family
Suite: Activity Manager for Automation",,Current,Invest ,no change,,,,,,"No Change  Integration with SAP S4 EAM, Integration SAP S4 EAM",,,Detlef Pabst,"F1:Thomas Kowtsch, F7:Kelvin SOH, F8:James DeLong, GIGA:Andy Ng","Manufacturing, Technology & IT",TRUE,TRUE
"APF - RTD (Formatter, Reporter)",3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab7, Fab8, Fab9, Giga",Prod,"Fab1, Fab7, Fab8, Fab9, Giga",Manufacturing,"WIP and task dispatching, Operational Data Model",Manufacturing,Potential,"Applied Materials - Advanced Productivity Family
Suite: Real-Time Dispatching, Operational Data Model, Activity Manager for Reporting",,Current,Invest ,no change,,,,,,No Change,,,Detlef Pabst,"F1:Thomas Kowtsch, F7:Kelvin SOH, F8:James DeLong, GIGA:Andy Ng, F9:Dan Clark","Manufacturing, Technology & IT",TRUE,TRUE
"ASMView PF9 Wafer + Module, MM+SM",3. GTO Done,Manufacturing,No,M2O,"Corp, Fab9",Prod,Fab9,Post Fab,Postfab MES,Manufacturing,Potential,Manufacturing Execution Postfab,,Nearing EOL,Replace,1:N - replacement,TBD,TBD,Yes,SiView,AsmView,AsmView is an optional SiView module since R24,Bob McGary,,Peter Goerigk,Keith Kenyon,"Manufacturing, Technology & IT",,
CIA GUI,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab7, Fab8",Corp,"Fab7, Fab8",,,,,In-House Reporting platform integrating with APF-RTD based report for RTD. Line user to view real time data and Mfg/PC uses it for Dispatch List Analysis Validation Tool,,Legacy,Retire,1:0 - retirement,Q1'27,Q4'27,,One Mfg Dashboard,,Migrate / Consolidate OneMfgDashboard,,,Jimmy Goh,Shin Yit,"Manufacturing, Technology & IT",TRUE,TRUE
CIMDIRECT UI,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Giga",Corp,Giga,Manufacturing,Fab UI for Giga PROMIS,Manufacturing,No,In-house manufacturing operators GUI for Manufacturing Day to Day Operations,,Current,Hold,,,,,,,No Change,,,Peter Goerigk,Alexander,"Manufacturing, Technology & IT",,
DERDACK,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab8",Prod,"Fab1,Fab8,Fab9",Manufacturing,Notification,Manufacturing,No,Critical messaging service for Fab operations and site alerting (including Fab evacuation notification).,,Current,Hold,no change,,,No,,, Integrate with SAP S4 EAM,,GF,Jeff Hanan,"Oliver Bartsch, Selva","Manufacturing, Technology & IT",TRUE,TRUE
eInhibit / LMS,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab7",,Fab7,,,,,Inhibit mgt.  Grouping of EQ and recipes.  Inhibit the EQGroup+RecipeGroup,,Legacy,Retire,1:0 - retirement,Q1'27,Q4'27,,FabGUI,,e.g. use for dedication of EQ groups to Recipe groups e.g. Metrology,,,Jimmy Goh,Shin Yit,"Manufacturing, Technology & IT",TRUE,TRUE
EAS APPS,1. Not Started,Enterprise,Delete,Manufacturing,"Corp, Giga",Corp,Giga,,,,,,,,,,,,,,, No Change,,,,,"Manufacturing, Technology & IT",TRUE,TRUE
F8 Inhibit Mgmt System,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab8",Prod,Fab8,Manufacturing,Operations Management,Manufacturing,No,Retired.  Moved to Mfg Cockpit and Fab 8 Report,,EOL,Replace,1:N - replacement,,,No,"Mfg Cockpit, Reporting",,Inhibit management ,,GF,Jeff Hanan,gone,"Manufacturing, Technology & IT",TRUE,TRUE
FabGUI,3. GTO Done,Manufacturing,Yes,Manufacturing,"Corp, Fab1, Fab7, Fab8",Prod,"Fab1, Fab7, Fab8",Manufacturing,,Manufacturing,,Operations GUI,,Current,Assess,no change,,,,,," Integration SAP S4 EAM, SCM",,,Jimmy Goh,Prithvi Patil,"Manufacturing, Technology & IT",TRUE,TRUE
Fab7 OQA LABEL PRINTING,3. GTO Done,Enterprise,Yes,M2O,"Corp, Fab7",Corp,Fab7,FAB,,Manufacturing,No,Shipping Logistics,,Nearing EOL,Retire,1:0 - retirement,Q1'27,Q4'28,,SAP S4,M2O, Replace with SAP S4,,,Peter Goerigk,Santi Blado,"Manufacturing, Technology & IT",TRUE,TRUE
"FABSCOPE - Core, Controllers, Schedulers",3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab7, Fab8, Fab9",Prod,"Fab1, Fab7, Fab8, Fab9",Manufacturing,"WIP/Task schedulers/controllers (Litho, DTC, Diffusion, Implant, Gecko, Mfg Cockpit)",Manufacturing,No,"Fab Scheduling and Optimization Framework, FabScope (JBoss) + DB, integrated via APF RTD for input data and execution decisions",,Current,Invest ,no change,,,,,,No Change,,,Detlef Pabst,Marcel Stehli,"Manufacturing, Technology & IT",,
FABSCOPE - DIFFUSION,5. Duplicate App,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab8",Prod,Fab8,Manufacturing,,,No,Scheduler,,,,,,,,,,"Line item to combine with FABSCOPE - Core, Controllers, Schedulers",,,Detlef Pabst,Marcel Stehli,"Manufacturing, Technology & IT",TRUE,TRUE
FABSCOPE - DTC,5. Duplicate App,Manufacturing,No,Manufacturing,"Corp, Fab1",Prod,"Fab1, Fab7",Manufacturing,,,No,Scheduler,,,,,,,,,,"Line item to combine with FABSCOPE - Core, Controllers, Schedulers",,,Detlef Pabst,Marcel Stehli,"Manufacturing, Technology & IT",TRUE,TRUE
FABSCOPE - GECKO,5. Duplicate App,Manufacturing,No,Manufacturing,"Corp, Fab1",Prod,Fab1,Manufacturing,,,No,Queue Time Control,,,,,,,,,,"Line item to combine with FABSCOPE - Core, Controllers, Schedulers",,,Detlef Pabst,Meinhard Schulze,"Manufacturing, Technology & IT",TRUE,TRUE
FABSCOPE - IMPLANT,5. Duplicate App,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab7, Fab8, Fab9",Prod,Fab1,Manufacturing,,,No,Scheduler,,,,,,,,,,"Line item to combine with FABSCOPE - Core, Controllers, Schedulers",,,Detlef Pabst,Marcel Stehli,"Manufacturing, Technology & IT",TRUE,TRUE
FABSCOPE - LITHO,5. Duplicate App,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab7, Fab8",Prod,"Fab1, Fab7, Fab8",Manufacturing,,,No,Scheduler,,,,,,,,,,"Line item to combine with FABSCOPE - Core, Controllers, Schedulers",,,Detlef Pabst,Marcel Stehli,"Manufacturing, Technology & IT",TRUE,TRUE
FABSCOPE - MFC,5. Duplicate App,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab7, Fab8",Prod,"Fab1, Fab7, Fab8, Fab9",Manufacturing,,,No,Task engine,,,,,,,,,,"Line item to combine with FABSCOPE - Core, Controllers, Schedulers",,,Detlef Pabst,Marcel Stehli,,,
FabView,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab8",Corp,"Fab1, Fab8",,,,,"FabPortal : Self-Service WebApps Data Query for Lots, Reticles, Foups, FPC, Events (Data Source from MDS, SIL etc)",,Legacy,Hold,no change,,,,,,Not focus for next few years.  Cannot be merge into Shiny,,,Jimmy Goh,Shin Yit,"Manufacturing, Technology & IT",TRUE,TRUE
FACTORY CONTROL TOWER (FCT),3. GTO Done,Manufacturing,,Manufacturing,"Corp, Fab7, Giga",Corp,"Fab7, Giga, Fab1",Manufacturing,Operations Dashboard,Manufacturing,No,Operations Dashboard,,Current,Invest ,no change,,,,,,No Change,,,Jimmy Goh,ShiYean Lim/Jens Matschak,"Manufacturing, Technology & IT",TRUE,TRUE
FICS MONITORING,3. GTO Done,Manufacturing,N,Manufacturing,"Corp, Fab1",Corp,Fab1,Manufacturing,Collection of Homegrown Monitoring Tools,Manufacturing,No,In house developed (different by Fab),,Legacy,Retire,no change,,,,,,"No Change, Retire after full Splunk rollout",,,Torsten Happ,,"Manufacturing, Technology & IT",TRUE,TRUE
FOD / RCubed,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab9",Prod,Fab9,Manufacturing,"Operational datastore feeding data to RTD, LTSS, FPS",Manufacturing,No,"DB2 with consolidation logic. ETL ""replica"" of the SiView system transactions and other important Fab reference data, effectively real-time.",,Legacy,Assess,,,,,,,Potential to be replaced by FPS Digital Twin,,,Detlef Pabst,Neil Malek,"Manufacturing, Technology & IT",,
FOD-MS (ELM),3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1",Prod,Fab1,Manufacturing,"UI for PC to enter dev lot due dates, intermediate targets, cycle time adder, dpml. Shows lot projection",Manufacturing,No,UI within FabGUI. Java EE backend,,Legacy,Retire,,,,,,,"No build env, no app owner. PC to submit idea with req's for replacement",,,Detlef Pabst,N/A,"Manufacturing, Technology & IT",TRUE,TRUE
IE WEB REPORTS,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8",Manufacturing,"Real time reports for monitoring,  equipment and lot lists",Manufacturing,No,JSP sites and JBOSS app,,Legacy,Assess,,,,,,,No Change. Potentially move to cloud,,,Detlef Pabst,F1: Irina Sudnik. F8: James DeLong,"Manufacturing, Technology & IT",TRUE,TRUE
GIGA OQA LABEL PRINTING,3. GTO Done,Enterprise,Yes,M2O,"Corp, Giga",Corp,Giga,FAB,,Manufacturing,No,Shipping Logistics,,Nearing EOL,Retire,1:0 - retirement,Q1'27,Q4'28,,SAP S4,M2O, Replace with SAP S4,,,Peter Goerigk,Santi Blado,"Manufacturing, Technology & IT",TRUE,TRUE
IOI - Fab 9,3. GTO Done,Manufacturing,No,M2O,"Corp, Fab9",Prod,Fab9,FAB,,Manufacturing,Potential,Integrated Operator Interface,,Current,Hold,no change,,,,,," Integration SAP S4 EAM, SCM - longterm converge to FabGUI ?",,,Peter Goerigk,Jim Harlow (PF)/Christina Donovan,"Manufacturing, Technology & IT",,
JCAP Fab,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab8, Fab9",Prod,"Fab1, Fab7, Fab8, Fab9",Manufacturing,Automation Framework for Automation Tasks between Main Systems,,No,"Automation Workflows (JBoss, MDS dependency)
jCAP is a tool kit used to build interfaces between Factory system and java applications. jCAP is a clustered jBoss environment.",,Current,Hold,no change,,,,,," 9/22 Peter G: some Fab1 releated scenarios could be retired in release 6, No Change
6/6/2025: after purchase of AMA some scenarios can be migrated there",,,Torsten Happ,Denis Nareike,"Manufacturing, Technology & IT",,
JCAP CORPORATE (JCORP),3. GTO Done,Manufacturing,Yes,M2O,"Corp, Fab1, Fab8, Fab9",Prod,"Fab1, Fab7,Fab8, Fab9, PFab9",FAB,"System Integration Fabs to Corp Apps Oracle-EBS, AsmView-BB, ICASE, PLM/PHUB, etc.",Integration,No,Jboss Common Automation Platfom,R6,Nearing EOL,Replace,1:N - replacement,Q1'27,Q4'28,,PDFS,SMH," Integrate with SAP S4 SCM, Integration SAP S4 EAM",,,Peter Goerigk,Manish Mishra,"Manufacturing, Technology & IT",TRUE,TRUE
LINE SCHEDULER / WIP Flush,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab9",Prod,Fab9,Manufacturing,Calculates priority configuration for WIP/RTD,Manufacturing,No,SAS,,Legacy,Assess,,,,,,,Potential to be replaced by FPS Fab Scheduler,,,Detlef Pabst,John Fournier,"Manufacturing, Technology & IT",,
MCS/2,3. GTO Done,Manufacturing,No,M2O,"Corp, Fab9",Prod,Fab9,FAB,Retired already,Manufacturing,No,Manufacturing Execution - Mainframe MES,,EOL,Retire,1:N - replacement,2022,2022,,SiView,SiView,,,,Peter Goerigk,Tobin Clough,"Manufacturing, Technology & IT",TRUE,TRUE
PostFab External Data Integration  / FabGUI Shipping Module,3. GTO Done,Manufacturing,Yes,M2O,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8",FAB,,Manufacturing,No,FabGUI Shipping interface into Oracle EBS Shipping execution,R6,Nearing EOL,Replace,1:N - replacement,Q1'27,Q4'28,,PDFS,SMH, Integration with SAP S4,,,Peter Goerigk,Prithvi Patil,"Manufacturing, Technology & IT",,
MFC - Manufacturing Cockpit,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab7, Fab8, Fab9",Prod,"Fab1, Fab7, Fab8, Fab9",Manufacturing,Operations Task Management GUI,Manufacturing,No,FabPortal hosted UI,,Current,Invest ,no change,,,,,,Front-end candidate use case for  global UI. Data from APF.  Integration SAP S4 EAM,,,Detlef Pabst,Prithvi Patil,"Manufacturing, Technology & IT",TRUE,TRUE
POD TRACKING,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Giga",Corp,Giga,Manufacturing,"Pod, Lot, Smart Tag & Baseplate tracking & Reporting System",Data & Analytics,No,"Pod, Lot, Smart Tag and Baseplate Tracking & Reporting System",,Legacy,Hold,no change,,,,,,Currently in use.  No plan for any action.  ,,,Jimmy Goh,Zhang Qian,"Manufacturing, Technology & IT",TRUE,TRUE
Purgemanager,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8",Manufacturing,Application Management,Manufacturing,No,Data cleanup in SiView,,Current,Hold,no change,,,No,,,CIP updates - JBOSS 7.4 and 8 plus  stability fixes,,GF,Jeff Hanan,Daniel Steger,"Manufacturing, Technology & IT",TRUE,TRUE
QTime Controller,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1",Prod,Fab1,Manufacturing,Replaced by Siview Watch Dog,Manufacturing,No,Timelink expiration monitoring,,Legacy,Retire,N:1 - consolidation,,,,,,Already retired,,,Detlef Pabst,,"Manufacturing, Technology & IT",TRUE,TRUE
QlikView,3. GTO Done,Technology & IT,N,Manufacturing,"Corp, Fab1, Fab7, Fab8, Giga",Corp,"Fab1, Fab7, Fab8, Giga",,,Data & Analytics,No,Reporting / BI,,Nearing EOL,Retire,1:N - replacement,,,No,Power BI,, No Change,,,Alex,Christopher Hayes(DL),"Manufacturing, Technology & IT",TRUE,TRUE
ROMA-MD MCS,3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab9",Prod,Fab9,Manufacturing,AMHS Transport Management equipment software (MCS),Manufacturing,No,Transport management?,,Current,Hold,no change,,,No,,,No Change,,"GF, Camline",Jeff Hanan,Brad Gustafson,"Manufacturing, Technology & IT",,
RSM 6 (ICADA),3. GTO Done,Manufacturing,No,M2O,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8, Fab 7, Giga, Fab 9 and Global Backbone planned",FAB,Reticle Management System Local & Global,Manufacturing,Potential," Reticle management system, incl Global Backbone",,Current,Invest ,no change,,,No,,,"Fab 9 deployment, Giga upgrade and Global Backbone deployment in progress 20205/26",,"GF, Camline",Peter Goerigk,Steffen Loebeth,"Manufacturing, Technology & IT",TRUE,TRUE
SiView-ERP Interface scripts,3. GTO Done,Manufacturing,Yes,M2O,"Corp, Fab7",Prod,Fab7,FAB,"interface lot complete, pick and ship status",Manufacturing,No,"SiView application is Fab 7 Manufacturing Execution System (MES). Comment makes no sense.
Alex-Interface is not an application so impacted flag set to N, SiView application is Fab 7 Manufacturing Execution System (MES).",R6,Nearing EOL,Replace,1:0 - retirement,Q1'27,Q4'28,,PDFS,SMH, Integration with SAP S4 PP,,,Peter Goerigk,Jianjun Xiao,"Manufacturing, Technology & IT",,
